file,algo,original_bytes,encoded_bytes,ratio,encode_ms,decode_ms,struct_entries,struct_bytes,ok
wallhaven-1p5z71.ppm,Huffman,24883217,9632215,0.387,598.4,246.6,225,1024,yes
wallhaven-1p5z71.ppm,LZW,24883217,1939708,0.078,3394.6,434.6,65536,0,yes
wallhaven-3z5jd3.ppm,Huffman,11059217,5067255,0.458,209.9,121.8,256,1024,yes
wallhaven-3z5jd3.ppm,LZW,11059217,4519214,0.409,3039.6,225.2,65536,0,yes
wallhaven-5geev3.ppm,Huffman,24883217,22899978,0.920,495.9,461.4,229,1024,yes
wallhaven-5geev3.ppm,LZW,24883217,45959760,1.847,1957.8,331.3,65536,0,yes
wallhaven-5gq3o8.ppm,Huffman,123863057,56287941,0.454,1496.4,1328.9,256,1024,yes
wallhaven-5gq3o8.ppm,LZW,123863057,39770174,0.321,81064.4,1059.9,65536,0,yes
wallhaven-5yd6d5.ppm,Huffman,6220817,2817004,0.453,80.8,62.9,38,1024,yes
wallhaven-5yd6d5.ppm,LZW,6220817,118486,0.019,1093.0,46.1,63446,0,yes
wallhaven-7p8eq3.ppm,Huffman,10658609,3276199,0.307,102.6,77.1,248,1024,yes
wallhaven-7p8eq3.ppm,LZW,10658609,619894,0.058,4291.4,74.0,65536,0,yes
wallhaven-852q62.ppm,Huffman,72000017,58247964,0.809,1472.8,1384.9,255,1024,yes
wallhaven-852q62.ppm,LZW,72000017,113450830,1.576,5293.9,963.6,65536,0,yes
wallhaven-8g5p52.ppm,Huffman,24883217,21889739,0.880,490.4,441.7,256,1024,yes
wallhaven-8g5p52.ppm,LZW,24883217,38575996,1.550,1525.2,323.3,65536,0,yes
wallhaven-d6r9ml.ppm,Huffman,24883217,21987466,0.884,529.4,481.9,245,1024,yes
wallhaven-d6r9ml.ppm,LZW,24883217,46217716,1.857,1474.6,344.2,65536,0,yes
wallhaven-exmq1k.ppm,Huffman,18000017,2585934,0.144,128.4,67.3,256,1024,yes
wallhaven-exmq1k.ppm,LZW,18000017,146036,0.008,14596.6,120.6,65536,0,yes
wallhaven-ly93ry.ppm,Huffman,24883217,8515326,0.342,241.2,183.5,53,1024,yes
wallhaven-ly93ry.ppm,LZW,24883217,581216,0.023,5425.8,183.7,65536,0,yes
wallhaven-o5k7kl.ppm,Huffman,44236817,36338399,0.821,839.5,793.1,256,1024,yes
wallhaven-o5k7kl.ppm,LZW,44236817,62926282,1.422,3773.0,551.6,65536,0,yes
wallhaven-og3p6m.ppm,Huffman,6226577,4612321,0.741,107.0,98.2,256,1024,yes
wallhaven-og3p6m.ppm,LZW,6226577,4898186,0.787,478.4,63.9,65536,0,yes
wallhaven-ogx5y9.ppm,Huffman,40608017,19181524,0.472,540.1,448.2,246,1024,yes
wallhaven-ogx5y9.ppm,LZW,40608017,3217220,0.079,5021.2,313.1,65536,0,yes
wallhaven-yqjdpd.ppm,Huffman,24883217,15507110,0.623,379.1,323.7,254,1024,yes
wallhaven-yqjdpd.ppm,LZW,24883217,16264656,0.654,3263.6,247.3,65536,0,yes
