file,algo,original_bytes,encoded_bytes,ratio,encode_ms,decode_ms,struct_entries,struct_bytes,ok
rand_001.bin,Huffman,277,1285,4.639,9.6,1.1,174,1024,yes
rand_001.bin,LZW,277,321,1.159,6.9,1.7,531,0,yes
rand_002.bin,Huffman,305,1310,4.295,1.0,0.4,173,1024,yes
rand_002.bin,LZW,305,355,1.164,0.7,0.6,558,0,yes
rand_003.bin,Huffman,615,1622,2.637,0.4,0.6,223,1024,yes
rand_003.bin,LZW,615,741,1.205,1.1,0.8,867,0,yes
rand_004.bin,Huffman,988,2000,2.024,0.7,0.9,253,1024,yes
rand_004.bin,LZW,988,1226,1.241,1.7,1.0,1234,0,yes
rand_005.bin,Huffman,2255,3270,1.450,1.1,1.7,256,1024,yes
rand_005.bin,LZW,2255,2976,1.320,4.2,2.0,2468,0,yes
rand_006.bin,Huffman,3639,4658,1.280,0.9,2.7,256,1024,yes
rand_006.bin,LZW,3639,4948,1.360,4.9,2.3,3783,0,yes
rand_007.bin,Huffman,6774,7804,1.152,1.3,1.4,256,1024,yes
rand_007.bin,LZW,6774,9672,1.428,8.4,3.0,6714,0,yes
rand_008.bin,Huffman,6874,7903,1.150,0.9,0.5,256,1024,yes
rand_008.bin,LZW,6874,9828,1.430,8.0,4.3,6810,0,yes
rand_009.bin,Huffman,14517,15548,1.071,2.0,0.9,256,1024,yes
rand_009.bin,LZW,14517,21380,1.473,12.6,6.2,13510,0,yes
rand_010.bin,Huffman,18221,19253,1.057,1.1,0.4,256,1024,yes
rand_010.bin,LZW,18221,26771,1.469,14.2,7.4,16577,0,yes
rand_011.bin,Huffman,35159,36191,1.029,1.5,0.9,256,1024,yes
rand_011.bin,LZW,35159,51416,1.462,26.5,10.2,29721,0,yes
rand_012.bin,Huffman,70722,71754,1.015,2.6,1.4,256,1024,yes
rand_012.bin,LZW,70722,99370,1.405,48.3,16.2,53888,0,yes
rand_013.bin,Huffman,84109,85141,1.012,3.0,1.9,256,1024,yes
rand_013.bin,LZW,84109,116366,1.384,33.8,5.1,62386,0,yes
rand_014.bin,Huffman,160411,161443,1.006,4.0,3.3,256,1024,yes
rand_014.bin,LZW,160411,210104,1.310,72.8,17.3,65536,0,yes
rand_015.bin,Huffman,355632,356664,1.003,7.5,6.9,256,1024,yes
rand_015.bin,LZW,355632,449274,1.263,70.8,31.4,65536,0,yes
rand_016.bin,Huffman,558430,559462,1.002,10.8,10.6,256,1024,yes
rand_016.bin,LZW,558430,697570,1.249,133.2,25.9,65536,0,yes
rand_017.bin,Huffman,754199,755231,1.001,14.8,14.7,256,1024,yes
rand_017.bin,LZW,754199,937778,1.243,291.8,25.1,65536,0,yes
rand_018.bin,Huffman,1591093,1592125,1.001,37.8,33.3,256,1024,yes
rand_018.bin,LZW,1591093,1964374,1.235,232.1,38.3,65536,0,yes
rand_019.bin,Huffman,2984062,2985094,1.000,63.1,59.8,256,1024,yes
rand_019.bin,LZW,2984062,3673390,1.231,460.1,73.4,65536,0,yes
rand_020.bin,Huffman,2952367,2953399,1.000,54.9,56.6,256,1024,yes
rand_020.bin,LZW,2952367,3632330,1.230,488.3,69.9,65536,0,yes
