file,algo,original_bytes,encoded_bytes,ratio,encode_ms,decode_ms,struct_entries,struct_bytes,ok
wallhaven-3qlxq9.ppm,Huffman,44236817,42387194,0.958,2364.2,1066.1,256,1024,yes
wallhaven-3qlxq9.ppm,LZW,44236817,73990846,1.673,4284.7,1253.6,65536,0,yes
wallhaven-5ygx77.ppm,Huffman,29122577,26321875,0.904,622.9,491.5,241,1024,yes
wallhaven-5ygx77.ppm,LZW,29122577,35257616,1.211,2888.0,743.3,65536,0,yes
wallhaven-7j3y7y.ppm,Huffman,24883217,23061383,0.927,555.8,521.5,256,1024,yes
wallhaven-7j3y7y.ppm,LZW,24883217,33578900,1.349,1715.8,319.8,65536,0,yes
wallhaven-9me3p1.ppm,Huffman,6220817,5521653,0.888,138.5,124.4,256,1024,yes
wallhaven-9me3p1.ppm,LZW,6220817,7106370,1.142,552.1,94.7,65536,0,yes
wallhaven-9o6gmd.ppm,Huffman,12303917,11922360,0.969,286.7,265.7,256,1024,yes
wallhaven-9o6gmd.ppm,LZW,12303917,15749234,1.280,1109.7,197.4,65536,0,yes
wallhaven-e88yjo.ppm,Huffman,24883217,24590717,0.988,560.2,543.2,256,1024,yes
wallhaven-e88yjo.ppm,LZW,24883217,31582394,1.269,2618.6,383.8,65536,0,yes
wallhaven-e8zvjr.ppm,Huffman,21720017,19638482,0.904,572.9,510.8,256,1024,yes
wallhaven-e8zvjr.ppm,LZW,21720017,23460720,1.080,2384.4,363.7,65536,0,yes
wallhaven-l8l1vr.ppm,Huffman,24883217,24010725,0.965,612.0,577.7,256,1024,yes
wallhaven-l8l1vr.ppm,LZW,24883217,31538816,1.267,2361.5,401.3,65536,0,yes
wallhaven-ly9qzq.ppm,Huffman,10552517,9950150,0.943,257.5,224.8,256,1024,yes
wallhaven-ly9qzq.ppm,LZW,10552517,13642154,1.293,1116.2,193.3,65536,0,yes
wallhaven-ml3ke9.ppm,Huffman,34934417,29017916,0.831,810.9,681.0,256,1024,yes
wallhaven-ml3ke9.ppm,LZW,34934417,27960992,0.800,9041.1,467.0,65536,0,yes
wallhaven-nkol3m.ppm,Huffman,24605189,24462204,0.994,545.8,507.8,256,1024,yes
wallhaven-nkol3m.ppm,LZW,24605189,26663304,1.084,1554.4,311.8,65536,0,yes
wallhaven-o5zedl.ppm,Huffman,64088081,54937526,0.857,1379.6,1251.8,256,1024,yes
wallhaven-o5zedl.ppm,LZW,64088081,41268692,0.644,5152.6,944.1,65536,0,yes
wallhaven-ogg6q7.ppm,Huffman,37754897,36039046,0.955,871.0,766.9,254,1024,yes
wallhaven-ogg6q7.ppm,LZW,37754897,59429878,1.574,2851.2,519.7,65536,0,yes
wallhaven-rro977.ppm,Huffman,27000017,25856726,0.958,671.6,691.7,256,1024,yes
wallhaven-rro977.ppm,LZW,27000017,48547868,1.798,1918.9,375.8,65536,0,yes
wallhaven-zpywmj.ppm,Huffman,24883217,23811821,0.957,580.5,525.6,256,1024,yes
wallhaven-zpywmj.ppm,LZW,24883217,38858240,1.562,1907.0,352.5,65536,0,yes
