file,algo,original_bytes,encoded_bytes,ratio,encode_ms,decode_ms,struct_entries,struct_bytes,ok
code_sort.c,Huffman,11052,8086,0.732,13.8,5.0,88,1024,yes
code_sort.c,LZW,11052,5725,0.518,19.4,5.7,4285,0,yes
code_stb_image.h,Huffman,283010,177028,0.626,19.3,14.3,96,1024,yes
code_stb_image.h,LZW,283010,106250,0.375,142.7,32.8,57328,0,yes
moby_01.txt,Huffman,4084,3658,0.896,0.5,0.2,75,1024,yes
moby_01.txt,LZW,4084,1970,0.482,0.9,0.6,1775,0,yes
moby_02.txt,Huffman,16366,11365,0.694,1.2,2.5,94,1024,yes
moby_02.txt,LZW,16366,8541,0.522,4.3,2.1,6018,0,yes
moby_03.txt,Huffman,65495,40088,0.612,2.7,6.6,95,1024,yes
moby_03.txt,LZW,65495,31798,0.486,20.9,10.1,19258,0,yes
moby_04.txt,Huffman,262098,152994,0.584,8.4,6.4,101,1024,yes
moby_04.txt,LZW,262098,115060,0.439,93.5,20.1,61733,0,yes
moby_05.txt,Huffman,1048556,600086,0.572,26.3,21.6,108,1024,yes
moby_05.txt,LZW,1048556,436934,0.417,218.7,73.2,65536,0,yes
moby_06.txt,Huffman,1234609,707387,0.573,29.1,25.5,108,1024,yes
moby_06.txt,LZW,1234609,513110,0.416,211.9,39.6,65536,0,yes
struct_diamonds_01.csv,Huffman,3031,2678,0.884,0.1,0.1,42,1024,yes
struct_diamonds_01.csv,LZW,3031,1301,0.429,1.0,0.2,1288,0,yes
struct_diamonds_02.csv,Huffman,20026,11916,0.595,0.5,0.4,42,1024,yes
struct_diamonds_02.csv,LZW,20026,6332,0.316,3.4,0.6,4659,0,yes
struct_diamonds_03.csv,Huffman,130061,71518,0.550,3.0,2.3,42,1024,yes
struct_diamonds_03.csv,LZW,130061,34313,0.264,22.0,2.7,20599,0,yes
struct_diamonds_04.csv,Huffman,700059,380919,0.544,14.5,11.6,42,1024,yes
struct_diamonds_04.csv,LZW,700059,173030,0.247,110.6,16.6,65536,0,yes
struct_diamonds_05.csv,Huffman,2772143,1504266,0.543,57.9,46.0,42,1024,yes
struct_diamonds_05.csv,LZW,2772143,767880,0.277,324.4,33.3,65536,0,yes
