file,algo,original_bytes,encoded_bytes,ratio,encode_ms,decode_ms,struct_entries,struct_bytes,ok
unif_001_single.bin,Huffman,1109,1171,1.056,6.6,0.1,1,1024,yes
unif_001_single.bin,LZW,1109,61,0.055,8.1,0.9,302,0,yes
unif_002_cycle2.bin,Huffman,2953,1402,0.475,1.6,0.7,2,1024,yes
unif_002_cycle2.bin,LZW,2953,130,0.044,2.4,0.5,363,0,yes
unif_003_cycle4.bin,Huffman,5095,2306,0.453,1.0,1.2,4,1024,yes
unif_003_cycle4.bin,LZW,5095,233,0.046,4.9,0.7,455,0,yes
unif_004_skewed.bin,Huffman,11761,3077,0.262,1.3,2.0,4,1024,yes
unif_004_skewed.bin,LZW,11761,2306,0.196,6.0,1.3,2019,0,yes
unif_005_blocks.bin,Huffman,42275,22996,0.544,2.7,3.3,19,1024,yes
unif_005_blocks.bin,LZW,42275,1585,0.037,14.9,1.9,1495,0,yes
unif_006_single.bin,Huffman,119507,15971,0.134,1.6,1.7,1,1024,yes
unif_006_single.bin,LZW,119507,588,0.005,45.5,2.7,744,0,yes
unif_007_cycle2.bin,Huffman,282886,36393,0.129,5.3,1.6,2,1024,yes
unif_007_cycle2.bin,LZW,282886,1342,0.005,88.9,4.6,1318,0,yes
unif_008_cycle4.bin,Huffman,468068,118049,0.252,4.2,2.5,4,1024,yes
unif_008_cycle4.bin,LZW,468068,2557,0.005,118.2,7.4,2189,0,yes
unif_009_skewed.bin,Huffman,1487272,261272,0.176,17.6,13.4,4,1024,yes
unif_009_skewed.bin,LZW,1487272,253258,0.170,215.6,64.7,65536,0,yes
unif_010_blocks.bin,Huffman,5418089,5375069,0.992,167.6,105.2,256,1024,yes
unif_010_blocks.bin,LZW,5418089,98608,0.018,624.5,95.5,53507,0,yes
